                  	unknown           	noun              	adverb            	adjective         	numberexpression  	interjection      	interrogative     	conjunction       	clitic            	punctuation       	numeral           	preposition       	verb              	existential       	wprefix           	propername        	modal             	negation          	title             	pronoun           	copula            	quantifier        	participle        	mwe               	
unknown           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	
noun              	5                 	                  	22                	267               	3                 	                  	4                 	2                 	                  	                  	21                	24                	321               	                  	4                 	230               	5                 	                  	2                 	5                 	1                 	6                 	159               	204               	
adverb            	                  	9                 	                  	1                 	                  	1                 	                  	9                 	                  	                  	                  	                  	                  	                  	                  	1                 	1                 	                  	                  	2                 	                  	4                 	                  	17                	
adjective         	                  	14                	4                 	                  	                  	                  	                  	                  	                  	                  	                  	3                 	                  	                  	1                 	2                 	2                 	                  	                  	                  	                  	                  	5                 	14                	
numberexpression  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	
interjection      	                  	                  	1                 	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	
interrogative     	                  	1                 	1                 	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	2                 	                  	1                 	                  	3                 	
conjunction       	                  	3                 	2                 	                  	                  	                  	                  	                  	                  	                  	                  	10                	                  	                  	                  	2                 	                  	                  	                  	1                 	1                 	2                 	                  	12                	
clitic            	                  	1                 	1                 	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	1                 	                  	                  	                  	                  	                  	                  	                  	                  	
punctuation       	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	
numeral           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	4                 	                  	                  	                  	                  	                  	                  	                  	6                 	
preposition       	                  	2                 	1                 	                  	                  	                  	                  	10                	                  	                  	                  	                  	6                 	                  	                  	                  	1                 	2                 	                  	                  	                  	4                 	1                 	31                	
verb              	                  	12                	1                 	5                 	                  	                  	                  	                  	                  	                  	                  	1                 	                  	                  	                  	2                 	1                 	                  	                  	                  	                  	                  	15                	6                 	
existential       	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	2                 	6                 	                  	                  	7                 	                  	                  	2                 	
wprefix           	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	1                 	                  	                  	                  	1                 	                  	                  	                  	                  	                  	                  	                  	1                 	
propername        	2                 	13                	1                 	4                 	                  	                  	                  	                  	                  	                  	1                 	3                 	3                 	                  	1                 	                  	                  	                  	                  	                  	                  	                  	1                 	5                 	
modal             	                  	                  	1                 	4                 	                  	                  	                  	                  	                  	                  	                  	                  	                  	1                 	                  	                  	                  	                  	                  	                  	                  	                  	                  	1                 	
negation          	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	1                 	                  	                  	                  	                  	                  	                  	7                 	
title             	                  	8                 	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	
pronoun           	                  	                  	                  	                  	                  	                  	                  	1                 	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	15                	                  	                  	3                 	
copula            	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	                  	12                	                  	                  	                  	                  	                  	8                 	                  	                  	                  	                  	
quantifier        	                  	2                 	1                 	                  	                  	                  	                  	                  	                  	                  	                  	                  	1                 	                  	                  	                  	                  	                  	                  	6                 	                  	                  	1                 	6                 	
participle        	                  	15                	                  	5                 	                  	                  	                  	                  	                  	                  	                  	                  	6                 	                  	                  	                  	1                 	                  	                  	                  	                  	                  	                  	7                 	
mwe               	                  	43                	8                 	5                 	                  	                  	1                 	                  	                  	                  	3                 	8                 	3                 	                  	3                 	10                	                  	                  	                  	6                 	                  	2                 	2                 	                  	
